NewCar,OriginalCar,EngineName
1384,210,RB26DETT-GT-R-R34
102,210,RB26DETT-GT-R-R34
931,3230,Evo-Final-Gr.B
301,3230,Evo-Final-Gr.B
211,3230,Evo-Final-Gr.B
1508,3230,Evo-Final-Gr.B
3424,3230,Evo-Final-Gr.B
2150,3230,Evo-Final-Gr.B
799,3230,Evo-Final-Gr.B
1458,1466,VK45DE-GT-R
3477,1466,VK45DE-GT-R
3429,1448,SR20DET-Silvia-S15
919,1448,SR20DET-Silvia-S15
1461,1448,SR20DET-Silvia-S15
1796,1448,SR20DET-Silvia-S15
173,1448,SR20DET-Silvia-S15
1986,1448,SR20DET-Silvia-S15
3364,3493,LZ20B-Skyline
837,3493,LZ20B-Skyline
836,3493,LZ20B-Skyline
82,2050,M158-AMG-Huayra
1778,3431,M64/03-911
1671,3431,M64/03-911
3514,3431,M64/03-911
3385,3311,M97/80-911
3359,3311,M97/80-911
3268,3311,M97/80-911
3268,3558,DKH-911
2153,3558,DKH-911
3539,3558,DKH-911
3432,3558,DKH-911
3375,3519,959.50-959
3509,3519,959.50-959
3431,3519,959.50-959
3365,3519,959.50-959
1027,3426,LS7-Rampage
3296,3426,LS7-Rampage
1549,3426,LS7-Rampage
3251,3426,LS7-Rampage
48,3426,LS7-Rampage
1431,3426,LS7-Rampage
3439,3398,CTR38-CTR3
3304,3398,CTR38-CTR3
3551,3339,LS7-BRZ
3245,3339,LS7-BRZ
3246,3339,LS7-BRZ
3227,3339,LS7-BRZ
919,3339,LS7-BRZ
2167,3339,LS7-BRZ
3554,3339,LS7-BRZ
2150,808,H25A-Escudo
3384,808,H25A-Escudo
3299,3508,V8-Suzuki-VGT-Gr.3
3453,3508,V8-Suzuki-VGT-Gr.3
3354,3508,V8-Suzuki-VGT-Gr.3
63,207,3S-GTE-MR2
810,207,3S-GTE-MR2
3344,3418,B58-GR-Supra-'20
1448,82,2JZ-GTE-Supra
3506,82,2JZ-GTE-Supra
3481,82,2JZ-GTE-Supra
3535,82,2JZ-GTE-Supra
3451,82,2JZ-GTE-Supra
3367,82,2JZ-GTE-Supra
843,82,2JZ-GTE-Supra
3545,3456,K14C-Swift
