ID,ShortName,Maker
1433,Amuse S2000 GT1 Turbo,59
1448,SILVIA spec-R Aero (S15) '02,28
1458,Fairlady Z (Z34) '08,28
1461,Silvia K's Dia Selection (S13) '90,28
1466,GT-R GT500 '08,28
1470,Supra GT500 '97,43
1474,Enzo Ferrari '02,110
1480,Corvette ZR1 (C6) '09,7
1481,Countach 25th Anniversary '88,112
1484,Countach LP400 '74,112
1504,458 Italia '09,110
1507,SLS AMG '10,153
1508,Lancer Evolution VI GSR T.M. SCP '99,25
1510,NSX GT500 '08,15
1516,SC430 GT500 '08,50
1523,500 F '68,12
1527,500 1.2 8V Lounge SS '08,12
1528,SLR McLaren '09,22
1536,Zonda R '09,30
1537,Prius G '09,43
1539,GranTurismo S '08,116
1540,McLaren F1 '94,117
1542,Corvette Convertible (C3) '69,7
1543,Challenger R/T '70,11
1545,Murcielago LP 640 '09,112
1549,Amuse NISMO 380RS Super Leggera,59
1551,330 P4 '67,110
1553,XJ13 '66,17
1563,Megane Trophy '11,34
1565,Mark IV Race Car '67,13
1578,8C Competizione '08,3
1581,GT by Citroen Road Car,9
1582,Miura P400 Bertone Prototype '67,112
1645,GIULIA TZ2 carrozzata da ZAGATO '65,3
1646,908 HDi FAP '10,32
1671,Sambabus Typ 2 '62,46
1689,Civic Type R (EK) Touring Car,15
1722,MP4-12C '10,117
1729,Mustang Mach 1 '71,13
1746,Roadster Touring Car,21
1770,Aventador LP 700-4 '11,112
1773,Scirocco R '10,46
1778,Volkswagen 1200 '66,46
1796,A110 '72,86
1797,SLS AMG GT3 '11,153
1893,Z8 '01,6
1895,Dino 246 GT '71,110
1896,Model S Signature Performance '12,119
1898,One-77 '11,4
1900,XNR Ghia Roadster '60,55
1902,Z4 GT3 '11,6
1904,M3 GT '11,6
1905,GT-R NISMO GT3 '13,28
1907,X-BOW R '12,121
1916,Corvette C7 '14,7
1925,G.T.350 '65,36
1926,Cobra Daytona Coupe '64,36
1927,Sport quattro S1 Pikes Peak '87,5
1931,250 GT Berlinetta passo corto '61,110
1932,1500 Biposto Bertone B.A.T 1 '52,125
1933,MiTo '09,3
1935,GT40 Mark I '66,13
1956,Viper GTS '13,11
1965,R18 TDI '11,5
1973,Abarth 500 '09,125
1975,RX500 '70,21
1984,McLaren F1 GTR - BMW '95,117
1985,Firebird Trans Am '78,52
1986,R8 Gordini '66,34
1987,Megane R.S. Trophy '11,34
1990,Diablo GT '00,112
2010,250 GTO '62,110
2011,500 Mondial Pinin Farina Coupe '54,110
2017,GTO '84,110
2018,365 GTB4 '71,110
2026,Aqua S '11,43
2049,Veyron 16.4 '13,113
2050,Huayra '13,30
2051,Genesis Coupe 3.8 '13,16
2055,Mercedes-Benz AMG VGT,153
2059,Corvette Stingray Racer Concept '59,7
2060,Racing Kart 125 Shifter,33
2074,M4 '14,6
2076,Mercedes-Benz AMG VGT Racing Series,153
2077,Red Bull X2014 Standard,33
2078,Red Bull X2014 Junior,33
2080,FT-1,43
2087,BMW VGT,6
2095,Concept XR-PHEV EVOLUTION VGT,25
2098,GTI Roadster VGT,46
2099,VIZIV GT VGT,38
2101,TS030 Hybrid '12,43
2103,DP-100 VGT,4
2106,FT-1 VGT,43
2107,Chaparral 2X VGT,93
2108,SRT Tomahawk X VGT,11
2109,MINI Clubman VGT,51
2110,SRT Tomahawk GTS-R VGT,11
2111,SRT Tomahawk S VGT,11
2112,Alpine VGT,86
2113,PEUGEOT VGT,32
2116,Alpine VGT Race,86
2117,INFINITI CONCEPT VGT,49
2118,LM55 VGT,21
2121,Honda Sports VGT,15
2122,IsoRivolta Zagato VGT,134
2123,LF-LC GT VGT,50
2124,GTI Supersport VGT,46
2127,GT-R LM NISMO '15,28
2131,V12 Vantage GT3 '12,4
2134,Bugatti VGT,113
2135,HYUNDAI N 2025 VGT,16
2136,4C '14,3
2138,Mustang GT '15,13
2139,RC F '14,50
2141,Golf VII GTI '14,46
2142,NISSAN CONCEPT 2020 VGT,28
2143,R8 LMS '15,5
2144,S-FR '15,43
2145,Focus ST '15,13
2146,F-type R '14,17
2147,Veneno '14,112
2148,Roadster S (ND) '15,21
2149,Mercedes-AMG GT S '15,153
2150,Lancer Evolution Final '15,25
2152,Charger SRT Hellcat '15,11
2153,WRX STI Type S '14,38
2154,86 GT '15,43
2155,Polo GTI '14,46
2156,2&4 powered by RC213V,15
2157,V8 Vantage Gr.4,4
2158,458 Italia GT3 '13,110
2159,Mustang Gr.3,13
2160,Genesis Gr.3,16
2161,GT-R Gr.4,28
2162,LaFerrari '13,110
2163,Genesis Gr.4,16
2164,Mustang Gr.4,13
2166,4C Gr.4,3
2167,GT-R '17,28
2169,TTS Coupe '14,5
2170,A 45 AMG '13,153
2171,Huracan LP 610-4 '15,112
2172,DS 3 Racing '11,154
2173,Atenza Sedan XD L Package '15,21
2174,650S '14,117
2175,V8 Vantage S '15,4
2176,RCZ GT Line '15,32
2177,Huracan GT3 '15,112
2178,S-FR Racing Concept '16,43
2179,Bugatti VGT (Gr.1),113
2180,HYUNDAI N 2025 VGT (Gr.1),16
2181,LM55 VGT (Gr.1),21
2182,650S GT3 '15,117
2183,Corvette C7 Gr.3,7
2184,F-type Gr.3,17
2185,Lancer Evolution Final Gr.3,25
2186,WRX Gr.3,38
2187,FT-1 VGT (Gr.3),43
2188,R.S.01 GT3 '16,34
2190,GT by Citroen Race Car (Gr.3),9
2192,Volkswagen GTI VGT (Gr.3),46
3183,PEUGEOT VGT (Gr.3),32
3185,4C Gr.3,3
3187,Alpine VGT '17,86
3188,SRT Tomahawk VGT (Gr.1),11
3192,SLS AMG Gr.4,153
3209,M4 Safety Car,6
3210,Mercedes-AMG GT Safety Car,153
3214,Civic Type R (FK2) '15,15
3215,208 GTi by Peugeot Sport '14,32
3216,R.S.01 '16,34
3217,Camaro SS '16,7
3218,M6 GT3 Endurance Model '16,6
3219,NSX '17,15
3220,Clio R.S. 220 Trophy '15,34
3221,M6 GT3 Sprint Model '16,6
3222,86 GRMN '16,43
3223,Viper SRT GT3-R '15,11
3224,Mercedes-AMG GT3 '16,153
3225,GT-R Safety Car,28
3227,LC500 '17,50
3228,RC F GT3 prototype '16,50
3229,Mustang Gr.B Rally Car,13
3230,Lancer Evolution Final Gr.B Rally Car,25
3231,Scirocco Gr.4,46
3232,WRX Gr.B Rally Car,38
3234,Genesis Gr.B Rally Car,16
3235,NSX Gr.3,15
3237,Atenza Gr.3,21
3238,RCZ Gr.3,32
3239,NSX Gr.B Rally Car,15
3241,GT-R Gr.B Rally Car,28
3242,RCZ Gr.B Rally Car,32
3245,M4 Gr.4,6
3246,Veyron Gr.4,113
3247,Corvette C7 Gr.4,7
3248,GT by Citroen Gr.4,9
3249,Viper Gr.4,11
3251,NSX Gr.4,15
3252,F-type Gr.4,17
3253,Huracan Gr.4,112
3254,RC F Gr.4,50
3256,Atenza Gr.4,21
3257,650S Gr.4,117
3258,Lancer Evolution Final Gr.4,25
3259,RCZ Gr.4,32
3260,Megane Gr.4,34
3261,WRX Gr.4,38
3262,86 Gr.4,43
3263,458 Italia Gr.4,110
3264,Focus Gr.B Rally Car,13
3265,86 Gr.B Rally Car,43
3266,i3 '15,6
3267,F12berlinetta '12,110
3268,911 GT3 RS (991) '16,136
3295,86 GT 'Limited' '16,43
3296,Corvette C7 Gr.3 Road Car,7
3297,WRX STI Isle of Man '16,38
3298,TT Cup '16,5
3299,4C Gr.3 Road Car,3
3300,Mustang Gr.3 Road Car,13
3301,Lancer Evolution Final Gr.B Road Car,25
3303,RCZ Gr.3 Road Car,32
3304,WRX Gr.B Road Car,38
3305,Beetle Gr.3,46
3306,Atenza Gr.3 Road Car,21
3309,Vulcan '16,4
3310,Cayman GT4 Clubsport '16,136
3311,911 RSR (991) '17,136
3312,TS050 - Hybrid '16,43
3313,919 Hybrid '16,136
3314,Audi VGT,5
3315,McLaren VGT,117
3316,COPEN RJ VGT,10
3332,L500R HYbrid VGT 2017,32
3333,L750R HYbrid VGT 2017,32
3334,R18 '16,5
3335,McLaren VGT (Gr.1),117
3336,F-150 SVT Raptor '11,13
3337,A110 '17,86
3338,CHC 1967 Chevy Nova,147
3339,BRZ Drift Car '17,38
3340,RC F GT3 '17,50
3341,Pantera '71,140
3342,F1500T-A,33
3343,DB11 '16,4
3344,M3 Sport Evolution '89,6
3345,GT-R NISMO '17,28
3346,Mach Forty,148
3348,NSX CONCEPT-GT '16,15
3349,RC F GT500 '16,50
3350,GT-R NISMO GT500 '16,28
3351,Audi e-tron VGT,5
3352,GR Supra Racing Concept '18,43
3353,Clio R.S. 220 Trophy '16,34
3354,BRZ S '15,38
3356,Mini-Cooper 'S' '65,51
3357,S660 '15,15
3358,911 GT3 (996) '01,136
3359,911 GT3 (997) '09,136
3360,McLaren P1 GTR '16,117
3361,E-type Coupe '61,17
3362,F50 '95,110
3363,DB3S '53,4
3364,Greddy Fugu Z,149
3365,356 A/1500 GS GT Carrera Speedster '56,136
3367,GR Supra RZ '19,43
3368,Tundra TRD Pro '19,43
3369,SR3 SL '13,141
3370,Fit Hybrid '14,15
3371,SF19 Super Formula / Toyota '19,143
3372,SF19 Super Formula / Honda '19,143
3373,962 C '88,136
3374,Red Bull X2019 Competition,33
3375,356 A/1500 GS Carrera '56,136
3376,D-type '54,17
3377,Super Bee '70,11
3383,Demio XD Touring '15,21
3384,GTO Twin Turbo '91,25
3385,911 Turbo (930) '81,136
3387,Camaro ZL1 1LE Package '18,7
3388,300 SEL 6.8 AMG '71,153
3389,M3 '03,6
3390,Taycan Turbo S '19,136
3391,Shelby GT350R '16,13
3392,Aventador LP 750-4 SV '15,112
3393,Carrera GT '04,136
3394,DBR9 GT1 '10,4
3396,Jaguar VGT Coupe,17
3397,CLK-LM '98,22
3398,CTR3 '07,35
3399,GR Supra Race Car '19,43
3400,911 GT1 Strassenversion '97,136
3401,Crown Athlete G '13,43
3402,Ford GT '17,13
3403,Golf I GTI '83,46
3404,911 Carrera RS CS (993) '95,136
3405,R8 LMS Evo '19,5
3406,Charger SRT Hellcat Safety Car,11
3407,Megane R.S. Trophy Safety Car,34
3408,Crown Athlete G Safety Car,43
3409,Mono '16,144
3410,917K '70,136
3413,BRZ STI Sport '18,38
3414,Lambo V12 VGT,112
3415,8C 2900B Touring Berlinetta '38,3
3416,Mercedes-AMG GT R '17,153
3417,Jaguar VGT SV,17
3418,GR Supra RZ '20,43
3419,RX-VISION GT3 CONCEPT,21
3420,Focus RS '18,13
3422,3.0 CSL '73,6
3423,Wicked Fabrication GT 51,150
3427,RX-8 Spirit R '12,21
3428,S Barker Tourer '29,22
3429,Fairlady Z 432 '69,28
3430,Willys MB '45,146
3431,911 Carrera RS (964) '92,136
3433,FXX K '14,110
3434,Testarossa '91,110
3436,Ford GT Race Car '18,13
3437,Mangusta '69,140
3438,Abarth 595 SS '70,125
3439,911 Carrera RS (993) '95,136
3441,300 SL (W194) '52,22
3442,A112 Abarth '85,57
3443,308 GTB '75,110
3445,DB5 '64,4
3446,Spyder type 550/1500RS '55,136
3449,Corvette C7 ZR1 '19,7
3451,GR Yaris RZ 'High performance' '20,43
3452,917 LIVING LEGEND,136
3453,M3 '89,6
3454,3.0 CSL '71,6
3456,Swift Sport '17,39
3457,A220 Race Car '68,86
3458,Mercedes-AMG C 63 S '15,153
3467,Civic Type R Limited Edition (FK8) '20,15
3469,F8 Tributo '19,110
3471,Celica GT-Four (ST205) '94,43
3477,Silvia spec-R Aero (S15) Touring Car,28
3478,Porsche VGT,136
3479,Jaguar VGT Roadster,17
3480,Swift Sport Gr.4,39
3481,GR86 RZ '21,43
3485,Mercedes-AMG GT Black Series '20,153
3487,Mustang Boss 429 '69,13
3495,RX-VISION '15,21
3500,G70 3.3T AWD Prestige Package '22,152
3501,G70 GR4,152
3502,Genesis X GR3,152
3503,RX-VISION GT3 CONCEPT Stealth Model,21
3504,Z Performance '23,28
779,Cappuccino (EA11R) '91,39
3474,BRZ GT300 '21,38
3506,BRZ S '21,38
3426,Roadster Shop Rampage,151
3476,Suzuki Vision Gran Turismo,39
3499,GR010 HYBRID '21,43
3508,SUZUKI Vision Gran Turismo (Gr.3 Version),39
3444,1932 Ford Roadster Hot Rod,13
808,V6 Escudo Pikes Peak Special spec.98,39
3459,918 Spyder '13,136
3489,A6GCS/53 Spyder '54,116
3493,Skyline Super Silhouette Group 5 '84,28
3488,Cayman GT4 '16,136
3505,Mangusta (Christian Dior),140
3475,MP4/4 '88,117
3462,GTO 'The Judge' '69,52
3507,Porsche VGT Spyder,136
3511,ID.R '19,46
3513,Silvia K's Type S (S14) '94,28
836,Skyline 2000GT-R (KPGC110) '73,28
3421,Merak SS '80,116
3450,GT-R NISMO GT3 '18,28
3512,Roadster NR-A (ND) '22,21
3466,Sierra RS 500 Cosworth '87,13
3483,M2 Competition '18,6
78,Silvia K's Aero (S14) '96,28
3517,Red Bull X2019 25th Anniversary,33
3411,Giulia GTAm '20,3
3473,Chiron '16,113
3510,Ferrari Vision Gran Turismo,110
3518,Corvette C8 Stingray '20,7
781,Celica GT-FOUR Rally Car (ST205) '95,43
2119,Italdesign VGT Street Mode,135
2120,Italdesign VGT Off-road Mode,135
3509,911 Carrera RS (901) '73,136
3514,DS 21 Pallas '70,9
3525,RA272 '65,15
3490,Carrera GTS (904) '64,136
3519,959 '87,136
3494,Alphard Executive Lounge '18,43
3521,Mazda3 '19,21
3523,RS 5 Turbo DTM '19,5
543,XJ220 '92,17
3528,SF23 Super Formula / Honda '23,143
3529,SF23 Super Formula / Toyota '23,143
3531,GT3 '20,153
3515,GR010 HYBRID (Olympic Esports Series) '21,43
3522,Maverick,156
3524,GT-R NISMO (R32) '90,28
3530,Giulia Sprint GT Veloce '67,3
931,Lancer Evolution III GSR '95,25
3432,Impreza Sedan WRX STi '04,38
3532,Valkyrie '21,4
3464,Corvette (C1) '58,7
3533,MC20 '20,116
3534,Ambulance Himedic '21,43
3535,GR Corolla MORIZO Edition '22,43
3526,Civic,157
3536,Civic Type R (FL5) '22,15
3537,MAZDA3 Gr.4,21
1562,LFA '10,50
3486,Challenger SRT Demon '18,11
3520,400R '95,155
575,190 E 2.5-16 Evolution II '91,22
3538,Charger R/T 426 Hemi '68,11
3539,911 GT3 RS (992) '22,136
3540,Model 3 Performance '23,119
3541,BVLGARI Aluminium VGT,158
3543,Genesis X Gran Berlinetta VGT Concept,152
3545,Jimny XC '18,39
1541,TTS Coupe '09,5
3424,Lancer Evolution IX MR GSR '06,25
3547,R4 GTL '85,34
116,GT-One (TS020) '99,43
3412,R8 Coupé V10 plus '16,5
3548,Urus '18,112
36,Chevelle SS 454 Sport Coupé '70,7
3542,SKODA Vision Gran Turismo,159
3546,AFEELA Prototype 2024,160
37,Civic SiR-II (EG) '93,15
140,NSX GT500 '00,15
102,Skyline GTS-R (R31) '87,28
3482,V40 T5 R-Design '13,69
3549,240 SE Estate '93,69
3551,M3 '97,6
1544,430 Scuderia '07,110
3544,Genesis X Gran Racer Vision Gran Turismo Concept,152
1506,Gallardo LP 560-4 '08,112
3468,RGT 4.2 '16,35
3550,Impreza Rally Car '98,38
799,Lancer Evolution VIII MR GSR '04,25
3553,GT-R Premium edition T-spec '24,28
3554,Hiace Van DX '16,43
3555,Escort RS Cosworth '92,13
3557,W 196 R '55,22
3558,911 Turbo S (992) '20,136
3559,Jimny Sierra JC '18,39
3560,Mission X '23,136
3561,IONIQ 5 N '24,16
3562,F3500-A,33
3563,Civic Si Extra (EF) '87,15
3565,C-HR S '18,43
655,Z4 3.0i '03,6
3564,205 GTI '88,32
3556,Unimog Type 411 '62,22
3447,Vantage '18,4
3566,CX-30 X Smart Edition '21,21
3567,Kangoo 1.4 '01,34
3470,812 Superfast '17,110
3570,Corvette Z06 (C5) '01,7
3571,Carry KC '12,39
3572,CR-V e:HEV EX Black Edition '21,15
